stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
2714,WSHA#182,WASHINGTON AV@18 ST,,25.794236,-80.131862,,,,
2715,WSHA#202,WASHINGTON AV@20 ST,,25.796936,-80.13198,,,,
2716,WSHADAD1,WASHINGTON AV@DADE BLVD,WASHINGTON AV & WASHINGTON CT,25.797874,-80.131991,,,,
2717,PTRD#232,PINE TREE DR@23 ST,,25.799534,-80.129922,,,,
2718,PTRD#241,PINE TREE DR@24 ST,,25.800944,-80.129558,,,,
2719,PTRD#252,PINE TREE DR@25 ST,,25.802228,-80.12933,,,,
2720,SHRV#281,SHERIDAN AV@28 ST,,25.804195,-80.12904,,,,
2721,SHRV#312,SHERIDAN AV@31 ST,,25.807545,-80.128946,,,,
2722,SHRV#342,SHERIDAN AV@34 ST,,25.809313,-80.128697,,,,
2723,SHRV#371,SHERIDAN AV@37 ST,,25.81083,-80.128486,,,,
2724,SHRV#421,SHERIDAN AV@42 ST,,25.814506,-80.127403,,,,
2725,SHRV44S2,SHERIDAN AV@44 ST,,25.817039,-80.126983,,,,
2726,SHRV#452,SHERIDAN AV@45 ST,,25.818766,-80.126669,,,,
2727,SHRV#461,SHERIDAN AV@46 ST,,25.820366,-80.126085,,,,
2728,PTRD#471,PINE TREE DR@47 ST,,25.82174,-80.125772,,,,
2729,PTRD#472,PINE TREE DR@# 4777,,25.823571,-80.125304,,,,
2730,PTRD#512,PINE TREE DR@51 ST,,25.827729,-80.124786,,,,
2731,PTRD#532,PINE TREE DR@53 ST,,25.830319,-80.124368,,,,
2732,PTRD#542,PINE TREE DR@54 ST,,25.831758,-80.124295,,,,
2733,PTRD#552,PINE TREE DR@55 ST,,25.833032,-80.124118,,,,
2734,PTRD#562,PINE TREE DR@56 ST,,25.834826,-80.123811,,,,
2735,PTRD#571,PINE TREE DR@57 ST,,25.836466,-80.12373,,,,
2736,PTRD#582,PINE TREE DR@58 ST,,25.8383,-80.123855,,,,
2737,PTRD#601,PINE TREE DR@60 ST,,25.840795,-80.124385,,,,
2738,PTRD#611,PINE TREE DR@61 ST,,25.842142,-80.124871,,,,
2739,PTRD63S1,PINE TREE DR@63 ST,,25.843468,-80.125381,,,,
2740,LGRD#624,LA GORCE DR@62 ST,,25.842608,-80.126208,,,,
2741,LGRD#593,LA GORCE DR@59 ST,,25.839422,-80.125135,,,,
2742,LGRD#574,LA GORCE DR@57 ST,,25.83627,-80.124813,,,,
2743,LGRD#564,LA GORCE DR@56 ST,,25.834763,-80.12491,,,,
2744,LGRD#553,LA GORCE DR@55 ST,,25.833319,-80.125144,,,,
2745,LGRD#544,LA GORCE DR@54 ST,,25.831662,-80.125391,,,,
2746,LGRD#523,LA GORCE DR@52 ST,,25.829116,-80.125414,,,,
2747,LGRD#513,LA GORCE DR@51 ST,,25.82752,-80.125044,,,,
2748,PTRD#494,PINE TREE DR@# 4900,,25.825107,-80.124974,,,,
2749,PTRD#473,PINE TREE DR@47 ST,,25.822114,-80.125998,,,,
2750,SHRV#464,SHERIDAN AV@46 ST,,25.820451,-80.126193,,,,
2751,SHRV#454,SHERIDAN AV@45 ST,,25.818481,-80.126829,,,,
2752,SHRV44S3,SHERIDAN AV@44 ST,,25.816969,-80.127098,,,,
2753,SHRV#434,SHERIDAN AV@43 ST,,25.81547,-80.127357,,,,
2755,SHRV#373,SHERIDAN AV@37 ST,,25.811172,-80.128581,,,,
2756,SHRV#343,SHERIDAN AV@34 ST,,25.80942,-80.128799,,,,
2757,SHRV#313,SHERIDAN AV@31 ST,,25.807486,-80.129089,,,,
2758,SHRV#283,SHERIDAN AV@28 ST,,25.804677,-80.129161,,,,
2759,PTRD#254,PINE TREE DR@25 ST,,25.802062,-80.129673,,,,
2760,PTRD#244,PINE TREE DR@24 ST,,25.80094,-80.129844,,,,
2761,WSHA#213,WASHINGTON AV@21 ST,,25.79761,-80.132255,,,,
2762,WSHA#193,WASHINGTON AV@19 ST,WASHINGTON AV & 20 ST,25.795567,-80.132175,,,,
2763,WSHA#183,WASHINGTON AV@18 ST,,25.794055,-80.132116,,,,
2764,WSHA#174,WASHINGTON AV@17 ST,,25.791974,-80.13201,,,,
2765,WSHA#154,WASHINGTON AV@15 ST,,25.787334,-80.13193,,,,
2766,WSHA#143,WASHINGTON AV@14 ST,,25.785578,-80.132036,,,,
2767,WSHA#133,WASHINGTON AV@13 ST,,25.784379,-80.132192,,,,
2768,WSHA#124,WASHINGTON AV@12 ST,,25.782623,-80.13273,,,,
2769,WSHA##93,WASHINGTON AV@9 ST,,25.779676,-80.133152,,,,
2770,WSHA##83,WASHINGTON AV@8 ST,,25.77859,-80.133384,,,,
2771,WSHA##74,WASHINGTON AV@7 ST,,25.776671,-80.133839,,,,
2772,WSHA##53,WASHINGTON AV@5 ST,,25.774767,-80.134264,,,,
2773,WSHA1#44,WASHINGTON AV@4 ST,,25.773447,-80.134562,,,,
2774,WSHA#2S3,WASHINGTON AV@2 ST,,25.771324,-80.134981,,,,
2775,WSHA##14,WASHINGTON AV@1 ST,WASHINGTON AVE & ALLEY,25.76984,-80.135277,,,,
2777,MIAMHARW,MIAMI HEART INSTITUT@47 CT,,25.822888,-80.131375,,,,
2778,ALTR1#41,ALTON RD@4 ST,,25.773306,-80.139941,,,,
2779,ALTR##62,ALTON RD@6 ST,,25.776338,-80.140659,,,,
2780,ALTR##82,ALTON RD@8 ST,,25.778361,-80.140729,,,,
2781,ALTR##92,ALTON RD@9 ST,,25.779471,-80.140753,,,,
2782,ALTR#102,ALTON RD@10 ST,,25.780834,-80.140817,,,,
2783,ALTR#112,ALTON RD@11 ST,,25.782025,-80.140845,,,,
2784,ALTR#132,ALTON RD@13 ST,,25.78413,-80.140884,,,,
2785,ALTR#142,ALTON RD@14 ST,,25.785403,-80.140976,,,,
2786,ALTR#152,ALTON RD@15 ST,,25.787606,-80.14101,,,,
2787,ALTR#162,ALTON RD@16 ST,,25.789185,-80.141048,,,,
2788,ALTR#191,ALTON RD@19 ST,,25.794544,-80.14121,,,,
2789,ALTRNMV2,ALTON RD@N MICHIGAN AV,,25.796722,-80.13939,,,,
2790,ALTR#212,ALTON RD@21 ST,,25.799273,-80.137999,,,,
2791,ALTR#231,ALTON RD@23 ST,,25.8012,-80.138086,,,,
2792,ALTR#272,ALTON RD@27 ST,,25.804199,-80.138165,,,,
2793,ALTR#292,ALTON RD@29 ST,,25.805606,-80.138293,,,,
2794,ALTR#302,ALTON RD@OP # 2982,,25.806571,-80.13786,,,,
2795,ALTRCHA1,ALTON RD@CHASE AV,,25.808584,-80.136261,,,,
2796,ALTR#391,ALTON RD@39 ST,,25.812037,-80.135645,,,,
2797,ALTR#441,ALTON RD@44 CT,,25.818626,-80.135978,,,,
2798,ALTR#461,ALTON RD@46 ST,,25.821948,-80.135847,,,,
2799,ALTR#471,ALTON RD@47 ST,,25.822685,-80.135471,,,,
2800,ALTRDEL1,ALTON RD@DELAWARE AV,,25.826865,-80.131373,,,,
2801,ALTR#521,ALTON RD@52 ST,,25.828903,-80.129791,,,,
2802,ALTR#532,ALTON RD@53 ST,,25.831226,-80.128744,,,,
2803,ALTR#542,ALTON RD@54 ST,,25.833272,-80.128697,,,,
2804,ALTR#562,ALTON RD@56 ST,,25.835289,-80.129385,,,,
2805,ALTR#571,ALTON RD@57 ST,,25.836648,-80.130329,,,,
2806,ALTR#581,ALTON RD@58 ST,,25.838261,-80.131055,,,,
2807,ALTR#591,ALTON RD@59 ST,,25.839908,-80.13089,,,,
2808,ALTR#601,ALTON RD@60 ST,,25.841309,-80.129905,,,,
2809,ALTR#622,ALTON RD@62 ST,,25.843011,-80.127916,,,,
2810,ALTR63S4,ALTON RD@63 ST,,25.842988,-80.12825,,,,
2811,ALTR#604,ALTON RD@60 ST,,25.841246,-80.130292,,,,
2812,ALTR#593,ALTON RD@59 ST,,25.84032,-80.130963,,,,
2813,ALTR#583,ALTON RD@58 ST,,25.838444,-80.131315,,,,
2815,ALTR#564,ALTON RD@56 ST,,25.834815,-80.129417,,,,
2816,ALTR#543,ALTON RD@54 ST,,25.8332,-80.128918,,,,
2817,ALTR#534,ALTON RD@53 ST,,25.830856,-80.129076,,,,
2818,ALTR#523,ALTON RD@52 ST,,25.829238,-80.129834,,,,
2819,ALTRDEL4,ALTON RD@DELAWARE AV,,25.827281,-80.131341,,,,
2821,ALTR#474,ALTON RD@47 ST,,25.822418,-80.135868,,,,
2822,ALTR#453,ALTON RD@45 ST,,25.820406,-80.136112,,,,
2823,ALTR44S4,ALTON RD@44 ST,,25.817465,-80.137162,,,,
2824,ALTRNBR3,ALTON RD@N BAY RD,,25.815903,-80.137554,,,,
2825,ALTR#413,ALTON RD@41 ST,,25.813585,-80.136305,,,,
2826,ALTRNOR4,ALTON RD@NORTH BAY RD,,25.808214,-80.136697,,,,
2827,ALTR#304,ALTON RD@# 2992,,25.806773,-80.138035,,,,
2828,ALTR#294,ALTON RD@29 ST,,25.805018,-80.138609,,,,
2829,ALTR#274,ALTON RD@27 ST,,25.803744,-80.138435,,,,
2830,ALTR#233,ALTON RD@23 ST,,25.801667,-80.138345,,,,
2831,ALTR#213,ALTON RD@21 ST,,25.79912,-80.138269,,,,
2832,ALTR#193,ALTON RD@19 ST,,25.795078,-80.141239,,,,
2833,ALTRDAD3,ALTON RD@DADE BD,,25.794255,-80.141472,,,,
2835,ALTR#153,ALTON RD@15 ST,,25.787506,-80.141262,,,,
2836,ALTR#143,ALTON RD@14 ST,,25.785481,-80.141189,,,,
2837,ALTR#134,ALTON RD@13 ST,,25.783637,-80.141132,,,,
2838,ALTR#103,ALTON RD@10 ST,,25.780715,-80.141032,,,,
2839,ALTR##93,ALTON RD@9 ST,,25.779413,-80.140997,,,,
2840,ALTR##83,ALTON RD@8 ST,,25.778298,-80.140972,,,,
2841,ALTR1#44,ALTON RD@4 ST,,25.773325,-80.140198,,,,
2842,WAVE#163,WEST AV@#1620,,25.789838,-80.14258,,,,
2845,WAVE#134,WEST AV@13 ST,,25.783836,-80.142322,,,,
2847,WAVE#114,WEST AV@11 ST,,25.781165,-80.142241,,,,
2853,DCKV#751,DICKENS AV@75 ST,,25.86036,-80.125349,,,,
2854,DCKV#754,DICKENS AV@75 ST,,25.860152,-80.125535,,,,
2855,HWTV#772,HAWTHORNE AV@77 ST,,25.862162,-80.128358,,,,
